number,severity,category
+12012663840,2,robocall
+12012790024,2,robocall
+12012854635,2,robocall
+12013408962,2,telemarketing
+12023041930,2,telemarketing
+12023509493,2,robocall
+12024003581,2,robocall
+12027353196,2,robocall
+12029517935,2,scam
+12029981857,2,scam
+12056702598,2,telemarketing
+12067455159,2,scam
+12082790820,2,telemarketing
+12086507984,2,telemarketing
+12096554105,2,robocall
+12109444825,2,telemarketing
+12123841000,2,scam
+12125525100,2,scam
+12132463439,2,telemarketing
+12142269139,2,robocall
+12163430767,2,telemarketing
+12178349513,2,robocall
+12178349517,2,robocall
+12178637161,2,robocall
+12192446145,2,robocall
+12252248384,2,robocall
+12272630472,2,telemarketing
+12296092698,2,telemarketing
+12393873296,2,robocall
+12489213031,2,robocall
+12679008794,2,robocall
+12695000186,2,robocall
+12704670587,2,robocall
+12704671396,2,robocall
+12707233587,2,robocall
+12813569164,2,telemarketing
+12815004370,2,robocall
+12832003728,2,telemarketing
+13016153085,2,telemarketing
+13016906059,2,robocall
+13057034471,2,telemarketing
+13093129642,2,robocall
+13106677534,2,robocall
+13126532073,2,telemarketing
+13126615476,2,robocall
+13127419770,2,robocall
+13139440338,2,telemarketing
+13142220608,2,robocall
+13155476939,2,telemarketing
+13157401892,2,telemarketing
+13179993070,2,scam
+13186147446,2,robocall
+13213958327,2,robocall
+13213958702,2,robocall
+13214625002,2,robocall
+13214991876,2,robocall
+13218661469,2,robocall
+13236182844,2,robocall
+13239682138,2,scam
+13318881773,2,robocall
+13322640007,2,telemarketing
+13342337559,2,robocall
+13362525903,2,telemarketing
+13376066756,2,telemarketing
+13392171158,2,robocall
+13528045028,2,scam
+13602766466,2,robocall
+13692166437,2,robocall
+14048064811,2,scam
+14052420407,2,robocall
+14072686093,2,robocall
+14074154862,2,robocall
+14078034983,2,robocall
+14097617631,2,scam
+14099865659,2,robocall
+14102041064,2,robocall
+14104745058,2,robocall
+14105414911,2,robocall
+14153296367,2,scam
+14193625050,2,robocall
+14236661108,2,robocall
+14259300959,2,robocall
+14352710195,2,robocall
+14436184721,2,robocall
+14437025235,2,telemarketing
+14452077224,2,telemarketing
+14698842209,2,scam
+14705526106,2,robocall
+14792620567,2,telemarketing
+14809008644,2,robocall
+15038325986,2,robocall
+15056756049,2,robocall
+15092938095,2,robocall
+15127689859,2,robocall
+15129003239,2,telemarketing
+15165405766,2,robocall
+15169171874,2,telemarketing
+15312008831,2,robocall
+15412550194,2,robocall
+15618541944,2,robocall
+15625125763,2,telemarketing
+15632657050,2,robocall
+15642164652,2,robocall
+15706327451,2,telemarketing
+15714929947,2,robocall
+15802179167,2,telemarketing
+16026415479,2,robocall
+16026617135,2,telemarketing
+16058657569,2,robocall
+16104428223,2,robocall
+16106211582,2,telemarketing
+16108580804,2,robocall
+16145342519,2,robocall
+16198881149,2,robocall
+16268777833,2,robocall
+16305675925,2,robocall
+16462574500,2,scam
+16466631660,2,robocall
+16467035655,2,robocall
+16502041111,2,robocall
+16502155242,2,scam
+16502155258,2,scam
+16502155641,2,scam
+16503600158,2,telemarketing
+16518298671,2,telemarketing
+16615909592,2,robocall
+17069163908,2,telemarketing
+17078106297,2,telemarketing
+17084934317,2,robocall
+17135043073,2,robocall
+17183037699,2,robocall
+17207213278,2,telemarketing
+17246098251,2,robocall
+17252200796,2,telemarketing
+17276156808,2,robocall
+17402045507,2,telemarketing
+17472397129,2,robocall
+17627169614,2,robocall
+17627221864,2,robocall
+17636565862,2,robocall
+17712430004,2,robocall
+17712473925,2,robocall
+17712473981,2,scam
+17712479842,2,robocall
+17712535173,2,robocall
+17712536275,2,robocall
+17739921498,2,scam
+17754381695,2,robocall
+17754381723,2,robocall
+17857151498,2,robocall
+18003683110,2,telemarketing
+18005135181,2,telemarketing
+18005284800,2,telemarketing
+18005671083,2,telemarketing
+18007332767,2,robocall
+18009356199,2,telemarketing
+18009423767,2,robocall
+18056377243,2,robocall
+18083812896,2,scam
+18083892548,2,scam
+18133912229,2,scam
+18136404892,2,scam
+18137123446,2,scam
+18139345003,2,scam
+18139850684,2,scam
+18174769534,2,robocall
+18284236560,2,scam
+18304319830,2,robocall
+18304579244,2,robocall
+18304579397,2,robocall
+18333337502,2,robocall
+18333337511,2,robocall
+18333530277,2,robocall
+18334159211,2,robocall
+18334196932,2,scam
+18334823366,2,robocall
+18334994754,2,robocall
+18336173680,2,robocall
+18336524153,2,robocall
+18336590387,2,robocall
+18336625730,2,robocall
+18336625741,2,robocall
+18336625743,2,robocall
+18336625788,2,robocall
+18336625808,2,robocall
+18336625818,2,robocall
+18336625847,2,robocall
+18336625854,2,robocall
+18336727632,2,robocall
+18336843601,2,robocall
+18336844339,2,robocall
+18336845474,2,robocall
+18336845490,2,robocall
+18336845573,2,robocall
+18336845586,2,robocall
+18337113940,2,robocall
+18337756080,2,robocall
+18338188692,2,scam
+18389453279,2,robocall
+18402637620,2,robocall
+18442349014,2,robocall
+18443052174,2,robocall
+18443133675,2,robocall
+18443358230,2,robocall
+18445023018,2,robocall
+18445023058,2,robocall
+18445023147,2,robocall
+18445023181,2,robocall
+18445023183,2,robocall
+18445023253,2,robocall
+18445151054,2,robocall
+18445151228,2,robocall
+18445151752,2,robocall
+18446403660,2,scam
+18446581732,2,robocall
+18447571895,2,robocall
+18447753439,2,robocall
+18448708870,2,robocall
+18452336271,2,robocall
+18475951619,2,robocall
+18504460595,2,robocall
+18552072889,2,telemarketing
+18553164622,2,robocall
+18553368588,2,robocall
+18553418640,2,robocall
+18553572026,2,robocall
+18553572069,2,robocall
+18553572124,2,robocall
+18553572205,2,robocall
+18553572212,2,robocall
+18553572267,2,robocall
+18554197365,2,robocall
+18554460858,2,robocall
+18555648907,2,robocall
+18555649151,2,robocall
+18555802219,2,robocall
+18555802381,2,robocall
+18555802407,2,robocall
+18555802413,2,robocall
+18555802491,2,robocall
+18555802622,2,scam
+18555802631,2,robocall
+18555802692,2,robocall
+18555802737,2,robocall
+18555802819,2,robocall
+18555802847,2,robocall
+18556260239,2,robocall
+18556437080,2,robocall
+18557600686,2,robocall
+18558064854,2,robocall
+18558830444,2,robocall
+18559042062,2,robocall
+18559078410,2,robocall
+18559941764,2,robocall
+18559941951,2,robocall
+18559942036,2,robocall
+18559942094,2,robocall
+18559942101,2,robocall
+18642855655,2,scam
+18644487004,2,robocall
+18662689566,2,robocall
+18663140302,2,telemarketing
+18663862885,2,robocall
+18663864880,2,robocall
+18663865187,2,robocall
+18663865575,2,robocall
+18663865770,2,robocall
+18663865808,2,robocall
+18663865812,2,robocall
+18663983014,2,robocall
+18663983150,2,robocall
+18663983323,2,robocall
+18664199370,2,scam
+18664540639,2,telemarketing
+18664548855,2,telemarketing
+18664996306,2,robocall
+18664997041,2,robocall
+18665450221,2,robocall
+18665563134,2,robocall
+18665565045,2,robocall
+18665567108,2,robocall
+18665567499,2,robocall
+18665852269,2,robocall
+18665882180,2,robocall
+18666127724,2,robocall
+18666661180,2,robocall
+18667711965,2,robocall
+18667714369,2,robocall
+18667714457,2,robocall
+18667714579,2,robocall
+18667714974,2,robocall
+18667714975,2,robocall
+18667714989,2,robocall
+18667714991,2,robocall
+18667715019,2,robocall
+18667715271,2,robocall
+18667715392,2,robocall
+18667715705,2,robocall
+18667715756,2,robocall
+18667715801,2,robocall
+18667715820,2,robocall
+18667715936,2,robocall
+18667716011,2,robocall
+18667716115,2,robocall
+18667716171,2,robocall
+18667716223,2,robocall
+18667716365,2,robocall
+18667716389,2,robocall
+18667716477,2,robocall
+18667716584,2,robocall
+18667716752,2,robocall
+18667716781,2,robocall
+18667716920,2,robocall
+18668088084,2,telemarketing
+18668184322,2,robocall
+18668337073,2,robocall
+18669476503,2,robocall
+18669507780,2,scam
+18669631623,2,robocall
+18669660711,2,robocall
+18709856856,2,robocall
+18726392640,2,robocall
+18772051650,2,robocall
+18772477967,2,robocall
+18772480718,2,robocall
+18773720718,2,robocall
+18773824357,2,robocall
+18775141450,2,telemarketing
+18775141710,2,robocall
+18775141719,2,robocall
+18775569255,2,robocall
+18775781477,2,robocall
+18775781723,2,robocall
+18775781816,2,robocall
+18775781859,2,robocall
+18775782137,2,robocall
+18775782380,2,robocall
+18775782492,2,robocall
+18775782617,2,robocall
+18775782694,2,robocall
+18775782862,2,robocall
+18775783073,2,robocall
+18775783177,2,robocall
+18775783404,2,robocall
+18775783784,2,robocall
+18775783818,2,robocall
+18775783941,2,robocall
+18775784149,2,robocall
+18775784177,2,robocall
+18776084924,2,robocall
+18776122280,2,robocall
+18776130572,2,robocall
+18776132580,2,robocall
+18776134656,2,robocall
+18776135459,2,robocall
+18776730956,2,robocall
+18777629836,2,scam
+18777781846,2,scam
+18778838564,2,robocall
+18778842292,2,telemarketing
+18779572897,2,robocall
+18779610345,2,robocall
+18779610349,2,robocall
+18779610375,2,robocall
+18779610592,2,robocall
+18779610647,2,robocall
